Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT",NAME_LONG,ISO_A3
Greece,"1,211",271,63,38,42,85,24,38,6,85,19,22,33,11,53,7,4,24,7,20,4,8,4,5,10.0,7,6,5.0,5.0,,,,,6,,3,11.0,,8.0,10.0,4.0,,,,,5.0,5.0,,,,10.0,Greece,GRC
Grenada,525,365,4,10,17,,8,,10,5,10,,,,7,,,,,,6,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,Grenada,GRD
Guatemala,"11,773","1,009","2,149",632,619,269,266,793,203,429,203,55,66,134,100,284,136,5,72,73,64,108,47,70,63.0,125,58,13.0,51.0,45,9,63.0,,326,68,28,154.0,25.0,50.0,14.0,19.0,8,4.0,67.0,29,25.0,19.0,44.0,,5,44.0,Guatemala,GTM
Guinea,"1,389",621,4,3,83,16,15,5,12,29,77,,19,,82,,4,13,48,3,,3,4,15,15.0,,9,68.0,6.0,,,,,6,4,22,3.0,3.0,4.0,5.0,,,3.0,,,,,7.0,,,,Guinea,GIN
Guinea-Bissau,39,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"5,543","4,069",16,176,151,15,18,4,19,27,115,4,,,41,8,7,,72,32,131,,5,,24.0,,4,3.0,21.0,,,,,4,,,4.0,3.0,,45.0,13.0,,,,,11.0,,5.0,,,3.0,Guyana,GUY
Haiti,"16,967","3,947",25,"6,243",167,77,22,20,10,"1,348",187,,12,14,325,6,13,5,25,179,"1,087",10,,10,22.0,11,7,31.0,16.0,4,,22.0,3,77,3,30,317.0,8.0,21.0,22.0,93.0,,4.0,8.0,,,3.0,11.0,,4,37.0,Haiti,HTI
Honduras,"9,274","1,278",660,"1,254",600,144,623,181,240,131,215,45,77,27,63,93,42,16,52,162,85,55,8,31,86.0,39,105,28.0,147.0,82,,51.0,,36,24,35,68.0,91.0,65.0,11.0,42.0,7,20.0,20.0,5,19.0,8.0,25.0,9,5,12.0,Honduras,HND
Hong Kong,"2,085",339,348,31,30,35,59,339,27,79,19,130,125,31,29,29,10,,13,4,6,37,32,6,7.0,12,6,4.0,7.0,3,,6.0,23,3,3,,11.0,4.0,,,,3,6.0,3.0,,7.0,,,,,,Hong Kong,HKG
Hungary,"1,095",167,87,101,34,21,18,30,16,23,11,31,15,18,8,8,12,18,6,24,14,23,9,5,3.0,7,14,,7.0,,,4.0,4,,5,,16.0,9.0,6.0,,11.0,,5.0,,,10.0,10.0,8.0,,,,Hungary,HUN
Iceland,104,18,11,,,,,,,4,,,5,,,,,,,,8,,,,,,3,,,,,,,,,,,,,,,,,,,4.0,,,,,,Iceland,ISL
India,"64,116","9,980","2,181",456,"2,235","4,248","2,169","3,151","2,772","1,297","1,987","2,948","1,834",516,"2,212",545,714,"1,273",828,498,326,125,844,356,620.0,341,546,571.0,574.0,246,19,239.0,21,148,141,450,259.0,611.0,288.0,445.0,182.0,627,376.0,379.0,442,353.0,341.0,110.0,26,5,281.0,India,IND
